Generación 190 : Individuo: k1: 0.5512941, k2: 2.7870335, k3: 0.5237248. Adecuación: 1.97229380381836
Generación 191 : Individuo: k1: 0.5512941, k2: 2.7870335, k3: 0.5237248. Adecuación: 1.97229380381836
Generación 192 : Individuo: k1: 0.5512941, k2: 2.7870335, k3: 0.5237248. Adecuación: 1.97229380381836
Generación 193 : Individuo: k1: 0.5512941, k2: 2.7870335, k3: 0.5237248. Adecuación: 1.97229380381836
Generación 194 : Individuo: k1: 0.5512941, k2: 2.7870335, k3: 0.5237248. Adecuación: 1.97229380381836
Generación 195 : Individuo: k1: 0.5512941, k2: 2.7870335, k3: 0.5237248. Adecuación: 1.97229380381836
Generación 196 : Individuo: k1: 0.5513191, k2: 2.7869146, k3: 0.5237438. Adecuación: 1.93774634434106
Generación 197 : Individuo: k1: 0.5513191, k2: 2.7869146, k3: 0.5237438. Adecuación: 1.93774634434106
Generación 198 : Individuo: k1: 0.5513191, k2: 2.7869146, k3: 0.5237438. Adecuación: 1.93774634434106
Generación 199 : Individuo: k1: 0.5513191, k2: 2.7869146, k3: 0.5237438. Adecuación: 1.93774634434106
Generación 200 : Individuo: k1: 0.5513191, k2: 2.7869146, k3: 0.5237438. Adecuación: 1.93774634434106
Generación 201 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 202 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 203 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 204 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 205 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 206 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 207 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 208 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 209 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 210 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 211 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 212 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 213 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 214 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 215 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 216 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 217 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 218 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 219 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 220 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 221 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 222 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 223 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 224 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 225 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 226 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 227 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 228 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 229 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 230 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 231 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 232 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 233 : Individuo: k1: 0.5513208, k2: 2.7869086, k3: 0.52374. Adecuación: 1.93463551358471
Generación 234 : Individuo: k1: 0.5518821, k2: 2.7871991, k3: 0.5239794. Adecuación: 1.58717319379498
Generación 235 : Individuo: k1: 0.5518821, k2: 2.7871991, k3: 0.5239794. Adecuación: 1.58717319379498
Generación 236 : Individuo: k1: 0.5518821, k2: 2.7871991, k3: 0.5239794. Adecuación: 1.58717319379498
Generación 237 : Individuo: k1: 0.5518821, k2: 2.7871991, k3: 0.5239794. Adecuación: 1.58717319379498
Generación 238 : Individuo: k1: 0.5518821, k2: 2.7871991, k3: 0.5239794. Adecuación: 1.58717319379498
Generación 239 : Individuo: k1: 0.5518821, k2: 2.8010935, k3: 0.5239746. Adecuación: 1.44523604066447
Generación 240 : Individuo: k1: 0.5518821, k2: 2.8010935, k3: 0.5239746. Adecuación: 1.44523604066447
Generación 241 : Individuo: k1: 0.5518821, k2: 2.8010935, k3: 0.5239746. Adecuación: 1.44523604066447
Generación 242 : Individuo: k1: 0.5518821, k2: 2.8010935, k3: 0.5239746. Adecuación: 1.44523604066447
Generación 243 : Individuo: k1: 0.5518821, k2: 2.8010935, k3: 0.5239746. Adecuación: 1.44523604066447
Generación 244 : Individuo: k1: 0.5518821, k2: 2.8010935, k3: 0.5239746. Adecuación: 1.44523604066447
Generación 245 : Individuo: k1: 0.5518821, k2: 2.8010935, k3: 0.5239746. Adecuación: 1.44523604066447
Generación 246 : Individuo: k1: 0.5518821, k2: 2.8010935, k3: 0.5239746. Adecuación: 1.44523604066447
Generación 247 : Individuo: k1: 0.5518821, k2: 2.8010935, k3: 0.5239746. Adecuación: 1.44523604066447
